"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2017,"Roslindale","Roslindale",339,265,85,175516641,100469792,26006712
2017,"Roxbury","Roxbury",224,222,52,177347393,124782560,29374292
2017,"South Boston","South Boston",813,414,90,617048328,301969580,61445773
2017,"South Boston Waterfront","South Boston Waterfront",56,32,7,43296291,38878212,5158551
2017,"South End","South End",440,254,48,491738262,182895353,28912813
2017,"West End","West End",56,20,3,34948584,8457767,328329
2017,"West Roxbury","West Roxbury",387,266,104,262704178,138706670,31918401
2018,"Allston","Allston",111,58,16,131114078,41519333,6985318
2018,"Back Bay","Back Bay",191,122,23,264401947,114366530,10564889
2018,"Beacon Hill","Beacon Hill",104,68,21,148561109,93912718,19527272
2018,"Brighton","Brighton",354,201,62,206280590,110928585,18608170
2018,"Charlestown","Charlestown",375,165,75,261628157,88662325,54735801
2018,"Chinatown","Chinatown",43,12,3,32312352,9338575,20033016
2018,"Dorchester","Dorchester",960,833,202,546880167,463089470,40080149
2018,"Downtown","Downtown",162,56,15,123977895,48021885,23095944
2018,"East Boston","East Boston",466,228,67,276481933,122641294,16159094
2018,"Fenway","Fenway",117,67,9,187341765,57602831,5891397
2018,"Hyde Park","Hyde Park",304,334,92,151195046,114762788,11887686
2018,"Jamaica Plain","Jamaica Plain",507,268,100,358490280,147616711,29613019
2018,"Longwood","Longwood",2,1,0,885749,203955,0
2018,"Mattapan","Mattapan",185,152,46,82765099,78190672,6211899
2018,"Mission Hill","Mission Hill",43,52,7,40592188,41062885,1304971
2018,"North End","North End",119,63,16,110483409,41336473,4258618
2018,"Roslindale","Roslindale",404,252,101,208667376,93548656,17957993
2018,"Roxbury","Roxbury",282,197,47,179211118,112693781,20424953
2018,"South Boston","South Boston",886,353,98,691741499,215170319,28170186
2018,"South Boston Waterfront","South Boston Waterfront",101,18,5,112431325,19197738,1951112
2018,"South End","South End",519,188,51,554057418,142477127,15486235
2018,"West End","West End",70,13,6,41979849,248761482,1503443
2018,"West Roxbury","West Roxbury",377,319,134,201222391,344014484,23996809
2019,"Allston","Allston",68,95,7,95264422,91611497,1434265
2019,"Back Bay","Back Bay",237,189,18,368650490,208309939,4681894
2019,"Beacon Hill","Beacon Hill",152,124,20,209712212,156391278,15339213
2019,"Brighton","Brighton",293,320,58,173143176,225148952,15501828
2019,"Charlestown","Charlestown",395,433,40,308037712,279442672,9569837
2019,"Chinatown","Chinatown",33,23,1,34389132,27741940,764357
2019,"Dorchester","Dorchester",1007,1327,179,590897367,664330992,57768158
2019,"Downtown","Downtown",118,99,8,112021510,105979635,3595440
2019,"East Boston","East Boston",569,406,59,376480361,222063715,30638360
2019,"Fenway","Fenway",102,103,7,105897803,100500459,2123451
2019,"Hyde Park","Hyde Park",274,513,86,133977717,213003281,12614785
2019,"Jamaica Plain","Jamaica Plain",451,508,77,304861849,314040742,18737710
2019,"Longwood","Longwood",1,4,0,452163,1362214,0
2019,"Mattapan","Mattapan",148,261,38,83083585,113058008,7062906
2019,"Mission Hill","Mission Hill",45,62,5,49652652,55814302,62214284
