GEOID,NAME,occ,vac,YEAR,landarea_acres
Longwood,Longwood,317,49,2022,125.3338263
Mattapan,Mattapan,9221,549,2022,1746.754335
Mission Hill,Mission Hill,6851,294,2022,384.9785704
North End,North End,6364,522,2022,121.5770832
Roslindale,Roslindale,11818,602,2022,1400.81718
Roxbury,Roxbury,20427,1695,2022,2217.508373
South Boston,South Boston,18568,1219,2022,1132.00878
South Boston Waterfront,South Boston Waterfront,4163,1146,2022,829.1247946
South End,South End,17128,1534,2022,540.9067611
West End,West End,4982,731,2022,174.3610166
West Roxbury,West Roxbury,13747,698,2022,3286.172429
