"GEOID","NAME","native","foreign","YEAR"
"Longwood","Longwood",4678,806,2020
"Mattapan","Mattapan",14481,9359,2020
"Mission Hill","Mission Hill",13693,5109,2020
"North End","North End",9673,1376,2020
"Roslindale","Roslindale",22144,7526,2020
"Roxbury","Roxbury",41511,14416,2020
"South Boston","South Boston",35039,4854,2020
"South Boston Waterfront","South Boston Waterfront",4965,1263,2020
"South End","South End",24963,7631,2020
"West End","West End",6239,2482,2020
"West Roxbury","West Roxbury",23805,7978,2020
"Allston","Allston",21791,9723,2024
"Back Bay","Back Bay",14914,4167,2024
"Beacon Hill","Beacon Hill",7977,1299,2024
"Brighton","Brighton",39629,15474,2024
"Charlestown","Charlestown",16435,2834,2024
"Chinatown","Chinatown",3036,3301,2024
"Dorchester","Dorchester",80982,41223,2024
"Downtown","Downtown",11089,4737,2024
"East Boston","East Boston",25978,20242,2024
"Fenway","Fenway",30349,11334,2024
"Hyde Park","Hyde Park",23137,10102,2024
"Jamaica Plain","Jamaica Plain",33390,9374,2024
"Longwood","Longwood",4724,827,2024
"Mattapan","Mattapan",14484,9646,2024
"Mission Hill","Mission Hill",13786,5243,2024
"North End","North End",9276,1398,2024
"Roslindale","Roslindale",21677,7579,2024
"Roxbury","Roxbury",41879,14673,2024
"South Boston","South Boston",35559,5104,2024
"South Boston Waterfront","South Boston Waterfront",6212,1697,2024
"South End","South End",26474,8354,2024
"West End","West End",6633,2655,2024
"West Roxbury","West Roxbury",23217,8009,2024
