"YEAR","ESTAB","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus","GEOID","NAME"
1998,968,31,61,1325230.67484663,7351618.40490798,"Zip Code 02111","Zip Code 02111"
1999,972,44,34,1451201.68067227,2796989.19567827,"Zip Code 02111","Zip Code 02111"
2000,992,34,79,929772.93844367,3287350.75493612,"Zip Code 02111","Zip Code 02111"
2001,965,46,83,1829581.59232072,2907167.13721062,"Zip Code 02111","Zip Code 02111"
2002,958,40,126,3899954.9749861,3034382.99055031,"Zip Code 02111","Zip Code 02111"
2003,917,54,117,3469449.45652174,3248333.69565217,"Zip Code 02111","Zip Code 02111"
2004,883,39,109,1397646.37374272,3681605.082054,"Zip Code 02111","Zip Code 02111"
2005,895,64,95,2508857.14285714,5008721.96620584,"Zip Code 02111","Zip Code 02111"
2006,905,66,174,1372031.25,2735351.19047619,"Zip Code 02111","Zip Code 02111"
2007,904,95,195,1803077.18282682,2856401.83309214,"Zip Code 02111","Zip Code 02111"
2008,901,45,143,2536823.96655829,3483034.83511379,"Zip Code 02111","Zip Code 02111"
2009,895,20,65,1191268.53146853,1797137.06293706,"Zip Code 02111","Zip Code 02111"
2010,922,20,71,365036.221916552,1908387.8954608,"Zip Code 02111","Zip Code 02111"
2011,902,34,62,1866304.13517119,1637245.88706092,"Zip Code 02111","Zip Code 02111"
2012,908,43,64,653985.6271777,4579174.21602787,"Zip Code 02111","Zip Code 02111"
2013,919,50,62,1824036.05150215,2718466.9527897,"Zip Code 02111","Zip Code 02111"
2014,968,54,83,2103433.46007605,4391118.29319814,"Zip Code 02111","Zip Code 02111"
2015,999,59,90,1236256.11814346,5377281.85654008,"Zip Code 02111","Zip Code 02111"
2016,1023,79,99,1079331.25,4591731.25,"Zip Code 02111","Zip Code 02111"
2017,1064,80,78,2888785.39371685,3315117.09506324,"Zip Code 02111","Zip Code 02111"
2018,1070,72,114,1671572.28195938,3353635.60334528,"Zip Code 02111","Zip Code 02111"
2019,1086,117,113,4186170.90340242,4875280.79780993,"Zip Code 02111","Zip Code 02111"
2020,1034,101,174,5303208.26893354,16847214.8377125,"Zip Code 02111","Zip Code 02111"
2021,985,117,132,3199178.59778598,10414071.5867159,"Zip Code 02111","Zip Code 02111"
2022,951,97,158,1515000,5719000,"Zip Code 02111","Zip Code 02111"
1998,171,38,52,3846401.22699386,4153466.87116564,"Zip Code 02113","Zip Code 02113"
1999,174,41,36,1835963.38535414,3318789.31572629,"Zip Code 02113","Zip Code 02113"
2000,176,45,68,4924227.06155633,4625067.94425087,"Zip Code 02113","Zip Code 02113"
2001,165,62,78,4764845.28514963,8724806.88876341,"Zip Code 02113","Zip Code 02113"
2002,184,36,95,2220875.48638132,6851360.20011117,"Zip Code 02113","Zip Code 02113"
2003,180,55,104,3388320.65217391,4729332.06521739,"Zip Code 02113","Zip Code 02113"
2004,174,59,115,3334517.73425093,5823010.05823187,"Zip Code 02113","Zip Code 02113"
2005,183,82,82,3880185.86789554,7129410.65028162,"Zip Code 02113","Zip Code 02113"
2006,173,114,232,4291771.82539683,5078693.45238095,"Zip Code 02113","Zip Code 02113"
2007,166,99,190,5265211.28798842,5253915.58128316,"Zip Code 02113","Zip Code 02113"
2008,171,69,213,2592563.39990711,5058693.45099861,"Zip Code 02113","Zip Code 02113"
2009,169,23,75,2198320.27972028,3498754.31235431,"Zip Code 02113","Zip Code 02113"
2010,179,35,86,2886738.6519945,3226276.02017423,"Zip Code 02113","Zip Code 02113"
2011,182,60,83,2654993.33036905,3434572.25433526,"Zip Code 02113","Zip Code 02113"
2012,184,83,93,2499933.36236934,4087091.46341463,"Zip Code 02113","Zip Code 02113"
2013,182,74,62,2302657.08154506,2567720.17167382,"Zip Code 02113","Zip Code 02113"
2014,179,69,84,6126049.00718209,5605446.13434727,"Zip Code 02113","Zip Code 02113"
2015,180,72,75,5200673.83966245,5255014.76793249,"Zip Code 02113","Zip Code 02113"
2016,185,100,106,6607702.5,6469889.58333333,"Zip Code 02113","Zip Code 02113"
2017,180,77,103,7577239.90208078,5645013.87188902,"Zip Code 02113","Zip Code 02113"
2018,181,67,121,4225557.54679411,7525572.28195938,"Zip Code 02113","Zip Code 02113"
2019,186,64,140,2453093.85999218,7381030.89558076,"Zip Code 02113","Zip Code 02113"
2020,180,82,188,7106005.02318393,19742547.1406491,"Zip Code 02113","Zip Code 02113"
2021,180,104,189,2613778.59778598,22548700.7380074,"Zip Code 02113","Zip Code 02113"
2022,179,113,183,1864000,4689000,"Zip Code 02113","Zip Code 02113"
1998,796,124,152,12438852.1472393,18186905.5214724,"Zip Code 02114","Zip Code 02114"
1999,823,154,100,12618075.6302521,12704163.8655462,"Zip Code 02114","Zip Code 02114"
2000,831,122,287,12566382.6945412,6137861.20789779,"Zip Code 02114","Zip Code 02114"
2001,843,193,248,11433645.3980802,22584672.5014116,"Zip Code 02114","Zip Code 02114"
2002,741,171,331,9579864.36909394,24665547.5264036,"Zip Code 02114","Zip Code 02114"
2003,748,213,326,16160539.673913,16702989.1304348,"Zip Code 02114","Zip Code 02114"
2004,740,169,357,10954944.4150344,16018700.8999471,"Zip Code 02114","Zip Code 02114"
2005,711,217,279,6601861.2391193,15573198.6687148,"Zip Code 02114","Zip Code 02114"
2006,697,288,775,11612175.5952381,25124868.5515873,"Zip Code 02114","Zip Code 02114"
2007,679,344,749,14282009.1654607,24657115.7742402,"Zip Code 02114","Zip Code 02114"
2008,677,201,596,7326336.73943335,18186009.7538319,"Zip Code 02114","Zip Code 02114"
2009,661,78,251,4384359.44055944,16066432.6340326,"Zip Code 02114","Zip Code 02114"
2010,667,70,248,2731061.43970656,11125552.4988537,"Zip Code 02114","Zip Code 02114"
2011,654,148,232,10121511.3383726,11148369.0529124,"Zip Code 02114","Zip Code 02114"
2012,663,187,264,8237924.21602787,13610040.0696864,"Zip Code 02114","Zip Code 02114"
2013,706,202,240,5688178.54077253,16102268.6695279,"Zip Code 02114","Zip Code 02114"
2014,694,200,254,4171005.91465991,13559169.8352345,"Zip Code 02114","Zip Code 02114"
2015,699,211,219,4678259.91561181,17591640.5063291,"Zip Code 02114","Zip Code 02114"
2016,703,235,295,6669901.25,17758352.9166667,"Zip Code 02114","Zip Code 02114"
2017,732,253,319,5729802.52957976,15892499.3880049,"Zip Code 02114","Zip Code 02114"
2018,738,242,408,7885764.63560334,17866240.1433692,"Zip Code 02114","Zip Code 02114"
2019,741,273,400,10963944.4661713,17536816.581932,"Zip Code 02114","Zip Code 02114"
2020,745,264,590,10768147.9907264,55428648.763524,"Zip Code 02114","Zip Code 02114"
2021,762,323,525,7458989.66789668,42950214.7601476,"Zip Code 02114","Zip Code 02114"
2022,739,303,395,5195000,17858000,"Zip Code 02114","Zip Code 02114"
1998,617,57,70,2366739.87730061,4537747.85276074,"Zip Code 02115","Zip Code 02115"
1999,662,58,85,4562676.47058824,7122483.79351741,"Zip Code 02115","Zip Code 02115"
2000,664,91,146,4179728.80371661,3476024.970964,"Zip Code 02115","Zip Code 02115"
2001,638,116,178,3918643.13946923,6427500.28232637,"Zip Code 02115","Zip Code 02115"
2002,608,97,226,5417959.97776543,6499924.95831017,"Zip Code 02115","Zip Code 02115"
2003,607,110,201,3569667.39130435,6525301.08695652,"Zip Code 02115","Zip Code 02115"
2004,599,93,184,2947143.46214929,5444932.76866067,"Zip Code 02115","Zip Code 02115"
2005,563,154,128,5357923.70711725,3114339.98975934,"Zip Code 02115","Zip Code 02115"
2006,564,190,376,5833673.61111111,4898659.72222222,"Zip Code 02115","Zip Code 02115"
2007,552,186,389,6500679.20887602,9821616.9802219,"Zip Code 02115","Zip Code 02115"
2008,589,102,344,2114019.97213191,6396439.85137018,"Zip Code 02115","Zip Code 02115"
2009,586,33,131,537640.093240093,3992728.20512821,"Zip Code 02115","Zip Code 02115"
2010,585,38,104,2572700.13755158,2826346.62998624,"Zip Code 02115","Zip Code 02115"
2011,609,90,112,3089683.41485104,5854000,"Zip Code 02115","Zip Code 02115"
2012,600,75,107,1307971.2543554,3403784.84320557,"Zip Code 02115","Zip Code 02115"
2013,580,111,107,6320058.79828326,6449449.78540773,"Zip Code 02115","Zip Code 02115"
2014,577,105,120,5057638.36079425,4584025.77101817,"Zip Code 02115","Zip Code 02115"
2015,588,109,133,2535498.31223629,8583396.62447257,"Zip Code 02115","Zip Code 02115"
2016,603,118,129,2912365,6474767.91666667,"Zip Code 02115","Zip Code 02115"
2017,633,132,157,4947597.30722154,6759208.48633211,"Zip Code 02115","Zip Code 02115"
2018,637,132,209,2845403.0266826,7580358.82118678,"Zip Code 02115","Zip Code 02115"
2019,646,165,214,2425621.04028158,10324056.7070786,"Zip Code 02115","Zip Code 02115"
2020,704,152,236,6654740.34003091,16797451.3137558,"Zip Code 02115","Zip Code 02115"
2021,714,176,242,4435863.099631,16069338.0073801,"Zip Code 02115","Zip Code 02115"
2022,701,148,184,2334000,9917000,"Zip Code 02115","Zip Code 02115"
1998,2183,276,389,25604965.0306748,48498414.7239264,"Zip Code 02116","Zip Code 02116"
1999,2201,291,302,30522671.6686675,37868282.1128451,"Zip Code 02116","Zip Code 02116"
2000,2237,350,559,25843268.2926829,44256851.9163763,"Zip Code 02116","Zip Code 02116"
2001,2200,495,634,38500544.8898927,66068224.1671372,"Zip Code 02116","Zip Code 02116"
2002,2176,419,1158,31822786.5480823,75595998.3324069,"Zip Code 02116","Zip Code 02116"
2003,2152,405,886,18909374.4565217,65073254.8913044,"Zip Code 02116","Zip Code 02116"
2004,2169,410,947,26717978.2953944,79964896.2413976,"Zip Code 02116","Zip Code 02116"
2005,2142,508,600,30310111.6231439,48200331.2852022,"Zip Code 02116","Zip Code 02116"
2006,2177,728,1904,28989786.2103175,88293477.6785714,"Zip Code 02116","Zip Code 02116"
2007,2166,693,1981,30590185.721177,96449803.6661843,"Zip Code 02116","Zip Code 02116"
2008,2214,409,1805,18804581.5141663,74336011.6117046,"Zip Code 02116","Zip Code 02116"
2009,2169,164,838,11838998.6013986,47944123.5431235,"Zip Code 02116","Zip Code 02116"
2010,2186,189,771,17673389.7294819,31217307.1985328,"Zip Code 02116","Zip Code 02116"
2011,2187,428,639,11493257.8923966,41630035.126723,"Zip Code 02116","Zip Code 02116"
2012,2235,497,732,17862858.8850174,45239742.5958188,"Zip Code 02116","Zip Code 02116"
2013,2241,512,624,17206488.8412017,45320763.5193133,"Zip Code 02116","Zip Code 02116"
2014,2287,514,693,17046343.4727503,51009188.8466413,"Zip Code 02116","Zip Code 02116"
2015,2308,590,680,19177407.5949367,56124298.7341772,"Zip Code 02116","Zip Code 02116"
2016,2333,706,832,25302695.4166667,61762139.1666667,"Zip Code 02116","Zip Code 02116"
2017,2324,649,921,19417796.8176255,49418651.1627907,"Zip Code 02116","Zip Code 02116"
2018,2376,586,1093,20267522.5009956,57539854.2413381,"Zip Code 02116","Zip Code 02116"
2019,2413,601,1022,17581459.9139617,55314233.0856472,"Zip Code 02116","Zip Code 02116"
2020,2332,750,1577,35507405.3323029,178335505.023184,"Zip Code 02116","Zip Code 02116"
2021,2273,780,1283,25065272.6937269,119694858.671587,"Zip Code 02116","Zip Code 02116"
2022,2334,687,1061,19491000,55373000,"Zip Code 02116","Zip Code 02116"
1998,648,98,108,5785763.19018405,6697981.59509202,"Zip Code 02118","Zip Code 02118"
1999,658,118,126,9081430.37214886,8831950.18007203,"Zip Code 02118","Zip Code 02118"
2000,670,123,266,9224639.3728223,8038201.50987224,"Zip Code 02118","Zip Code 02118"
2001,680,193,372,6065550.5364201,14711025.974026,"Zip Code 02118","Zip Code 02118"
2002,706,175,390,10967708.1712062,17661247.9155086,"Zip Code 02118","Zip Code 02118"
2003,738,208,401,9644783.15217391,16695035.326087,"Zip Code 02118","Zip Code 02118"
2004,712,198,461,7081201.694018,20244179.4600318,"Zip Code 02118","Zip Code 02118"
2005,707,261,284,8045128.52022529,10095377.3681516,"Zip Code 02118","Zip Code 02118"
2006,722,354,782,11291309.0277778,15321741.5674603,"Zip Code 02118","Zip Code 02118"
2007,715,411,799,15259087.7954655,20263085.8658948,"Zip Code 02118","Zip Code 02118"
2008,718,211,646,7323617.74268463,14049056.2006503,"Zip Code 02118","Zip Code 02118"
2009,730,82,301,4282016.78321678,12560855.4778555,"Zip Code 02118","Zip Code 02118"
2010,741,86,347,4549532.32462173,9478863.3654287,"Zip Code 02118","Zip Code 02118"
2011,759,233,257,13268459.3152512,10649907.0698088,"Zip Code 02118","Zip Code 02118"
2012,750,239,253,8931429.44250871,12555759.1463415,"Zip Code 02118","Zip Code 02118"
2013,773,301,220,13744337.7682403,15687715.0214592,"Zip Code 02118","Zip Code 02118"
2014,787,263,346,6336268.69455006,15776369.2437685,"Zip Code 02118","Zip Code 02118"
2015,826,286,319,8501885.23206751,17957206.7510549,"Zip Code 02118","Zip Code 02118"
2016,809,314,379,12359257.5,19831644.5833333,"Zip Code 02118","Zip Code 02118"
2017,798,416,344,11287639.3308854,13260468.380253,"Zip Code 02118","Zip Code 02118"
2018,814,295,422,7482442.45320589,15234154.9183592,"Zip Code 02118","Zip Code 02118"
2019,926,337,448,7347834.57176379,15302360.5788033,"Zip Code 02118","Zip Code 02118"
2020,920,356,596,14855542.8902628,53036606.6460587,"Zip Code 02118","Zip Code 02118"
2021,894,455,569,11791165.6826568,41245858.302583,"Zip Code 02118","Zip Code 02118"
2022,901,344,443,7119000,15805000,"Zip Code 02118","Zip Code 02118"
1998,355,42,97,5291944.17177914,13785631.2883436,"Zip Code 02119","Zip Code 02119"
1999,360,53,95,4875405.16206483,9019938.7755102,"Zip Code 02119","Zip Code 02119"
2000,375,65,172,5112901.2775842,7035338.55981417,"Zip Code 02119","Zip Code 02119"
2001,394,127,231,7696803.50084698,27980863.91869,"Zip Code 02119","Zip Code 02119"
2002,402,83,308,4349011.11728738,18560987.2151195,"Zip Code 02119","Zip Code 02119"
2003,447,116,266,6499848.91304348,10763088.0434783,"Zip Code 02119","Zip Code 02119"
2004,383,106,264,7246997.8824775,15673163.0492324,"Zip Code 02119","Zip Code 02119"
2005,378,121,224,5052184.84383001,14723424.4751664,"Zip Code 02119","Zip Code 02119"
2006,378,199,451,6690285.71428571,25701266.8650794,"Zip Code 02119","Zip Code 02119"
2007,404,192,417,7921114.32706223,14867973.9507959,"Zip Code 02119","Zip Code 02119"
2008,396,74,330,3719587.55225267,13165382.2573154,"Zip Code 02119","Zip Code 02119"
2009,396,33,162,2786449.41724942,12219713.2867133,"Zip Code 02119","Zip Code 02119"
2010,380,41,182,1990252.63640532,12227371.389271,"Zip Code 02119","Zip Code 02119"
2011,388,66,197,3952556.24722099,13746097.8212539,"Zip Code 02119","Zip Code 02119"
2012,404,92,204,6180355.40069686,15571996.9512195,"Zip Code 02119","Zip Code 02119"
2013,424,105,167,7500908.58369099,17765508.1545064,"Zip Code 02119","Zip Code 02119"
2014,428,92,169,6144597.80312632,12308980.9885932,"Zip Code 02119","Zip Code 02119"
2015,448,128,170,4033578.90295359,10284020.6751055,"Zip Code 02119","Zip Code 02119"
2016,453,139,197,7916315.41666667,14899649.5833333,"Zip Code 02119","Zip Code 02119"
2017,449,161,259,7706214.19828641,15638133.4149327,"Zip Code 02119","Zip Code 02119"
2018,451,139,250,4906309.43847073,11388606.1330147,"Zip Code 02119","Zip Code 02119"
2019,438,191,303,4655498.24012515,15025342.9800548,"Zip Code 02119","Zip Code 02119"
2020,436,154,370,8004010.43276661,36918879.8299845,"Zip Code 02119","Zip Code 02119"
2021,456,215,359,5335564.57564576,23461363.099631,"Zip Code 02119","Zip Code 02119"
2022,461,220,304,6172000,11846000,"Zip Code 02119","Zip Code 02119"
1998,135,29,42,993025.153374233,2528353.37423313,"Zip Code 02120","Zip Code 02120"
1999,141,32,34,1781499.3997599,1897454.9819928,"Zip Code 02120","Zip Code 02120"
2000,154,45,64,3188764.22764228,2083915.21486643,"Zip Code 02120","Zip Code 02120"
2001,162,95,87,4513629.02315076,2024604.743083,"Zip Code 02120","Zip Code 02120"
2002,175,35,123,1773446.35908838,3776301.83435242,"Zip Code 02120","Zip Code 02120"
2003,181,54,117,2774286.95652174,3230835.32608696,"Zip Code 02120","Zip Code 02120"
2004,159,43,137,3199711.48755956,4378878.77183695,"Zip Code 02120","Zip Code 02120"
2005,160,83,84,1958826.93292371,3087363.031234,"Zip Code 02120","Zip Code 02120"
2006,164,131,244,3054765.87301587,7877927.57936508,"Zip Code 02120","Zip Code 02120"
2007,168,132,197,3789709.59961409,6170279.78774723,"Zip Code 02120","Zip Code 02120"
2008,163,72,184,4245713.42313052,4895553.64607524,"Zip Code 02120","Zip Code 02120"
2009,163,24,78,1582899.76689977,2104165.03496504,"Zip Code 02120","Zip Code 02120"
2010,162,25,76,1821154.97478221,1948649.2434663,"Zip Code 02120","Zip Code 02120"
2011,156,48,69,2381685.1934193,1747870.60915963,"Zip Code 02120","Zip Code 02120"
2012,155,50,84,4591922.4738676,5054684.23344948,"Zip Code 02120","Zip Code 02120"
2013,159,55,44,1473549.78540773,2027544.20600858,"Zip Code 02120","Zip Code 02120"
2014,165,60,52,2922053.65441487,4182135.19222645,"Zip Code 02120","Zip Code 02120"
2015,173,66,64,1270836.70886076,2120531.22362869,"Zip Code 02120","Zip Code 02120"
2016,176,77,65,1629363.33333333,3525815.41666667,"Zip Code 02120","Zip Code 02120"
2017,180,81,70,3833402.69277846,1732793.55365157,"Zip Code 02120","Zip Code 02120"
2018,180,91,79,1720530.46594982,2947982.07885305,"Zip Code 02120","Zip Code 02120"
2019,177,91,79,3075811.10676574,3405484.94329292,"Zip Code 02120","Zip Code 02120"
2020,181,115,118,5364281.68469861,7478100.46367852,"Zip Code 02120","Zip Code 02120"
2021,176,141,145,2379402.58302583,4971579.70479705,"Zip Code 02120","Zip Code 02120"
2022,168,97,84,1211000,1593000,"Zip Code 02120","Zip Code 02120"
1998,139,38,40,962498.159509202,2086609.81595092,"Zip Code 02121","Zip Code 02121"
1999,147,37,50,4727825.33013205,5302332.53301321,"Zip Code 02121","Zip Code 02121"
2000,152,36,73,752997.096399535,5061908.24622532,"Zip Code 02121","Zip Code 02121"
2001,165,53,110,2459274.98588368,2786517.22190853,"Zip Code 02121","Zip Code 02121"
2002,178,50,161,2246907.72651473,7018942.74596998,"Zip Code 02121","Zip Code 02121"
2003,189,56,126,1735520.10869565,5211332.60869565,"Zip Code 02121","Zip Code 02121"
2004,164,43,101,1975608.78771837,1910529.91000529,"Zip Code 02121","Zip Code 02121"
2005,182,80,76,2448908.34613415,2916508.96057348,"Zip Code 02121","Zip Code 02121"
2006,174,100,201,2720832.34126984,7317500,"Zip Code 02121","Zip Code 02121"
2007,172,96,175,2012047.7568741,4999762.18041486,"Zip Code 02121","Zip Code 02121"
2008,163,60,137,1972632.14119833,4385741.75568973,"Zip Code 02121","Zip Code 02121"
2009,171,22,64,1502390.20979021,590858.275058275,"Zip Code 02121","Zip Code 02121"
2010,174,15,53,161045.392022008,774359.926639156,"Zip Code 02121","Zip Code 02121"
2011,171,38,57,803005.335704758,1219474.87772343,"Zip Code 02121","Zip Code 02121"
2012,176,38,62,319981.271777003,611916.37630662,"Zip Code 02121","Zip Code 02121"
2013,180,38,46,1092914.16309013,1847904.29184549,"Zip Code 02121","Zip Code 02121"
2014,183,53,57,2332201.94338826,1668155.04858471,"Zip Code 02121","Zip Code 02121"
2015,193,73,44,1720384.38818565,1561066.66666667,"Zip Code 02121","Zip Code 02121"
2016,189,92,52,2167199.58333333,2518439.58333333,"Zip Code 02121","Zip Code 02121"
2017,196,95,71,3826237.45410037,2468424.7246022,"Zip Code 02121","Zip Code 02121"
2018,199,72,71,2355821.18677818,1212297.88928714,"Zip Code 02121","Zip Code 02121"
2019,213,96,88,1474374.65780211,4704720.37543997,"Zip Code 02121","Zip Code 02121"
2020,210,109,155,2596751.15919629,7551614.76043277,"Zip Code 02121","Zip Code 02121"
2021,233,159,194,1762680.44280443,5780554.98154982,"Zip Code 02121","Zip Code 02121"
2022,256,179,122,2929000,2530000,"Zip Code 02121","Zip Code 02121"
1998,452,40,56,3533948.46625767,4483876.68711656,"Zip Code 02122","Zip Code 02122"
1999,484,63,91,5346255.10204082,6446076.2304922,"Zip Code 02122","Zip Code 02122"
2000,508,69,153,9114154.47154472,4975220.09291522,"Zip Code 02122","Zip Code 02122"
2001,510,98,174,4723526.82100508,8326496.89440994,"Zip Code 02122","Zip Code 02122"
2002,507,67,290,7428950.52807115,13738514.7304058,"Zip Code 02122","Zip Code 02122"
2003,515,95,254,7027981.52173913,12140686.9565217,"Zip Code 02122","Zip Code 02122"
2004,476,106,266,4925851.24404447,12681084.1715193,"Zip Code 02122","Zip Code 02122"
2005,473,149,217,9287567.33230927,8992319.50844854,"Zip Code 02122","Zip Code 02122"
2006,457,216,401,5302283.73015873,11986761.9047619,"Zip Code 02122","Zip Code 02122"
2007,442,222,379,4811971.05643994,8283988.90496864,"Zip Code 02122","Zip Code 02122"
2008,438,109,322,2687728.2861124,11640025.0812819,"Zip Code 02122","Zip Code 02122"
2009,436,61,171,4362526.34032634,7299078.32167832,"Zip Code 02122","Zip Code 02122"
2010,444,51,139,3470528.19807428,6496839.52315452,"Zip Code 02122","Zip Code 02122"
2011,448,87,144,4214151.17830147,8374942.19653179,"Zip Code 02122","Zip Code 02122"
2012,458,81,137,5950886.75958188,6195653.31010453,"Zip Code 02122","Zip Code 02122"
2013,498,92,105,2107942.48927039,9704324.03433476,"Zip Code 02122","Zip Code 02122"
2014,500,122,151,9166814.95564005,7127683.98817068,"Zip Code 02122","Zip Code 02122"
2015,512,155,114,8589571.72995781,8023932.06751055,"Zip Code 02122","Zip Code 02122"
2016,543,197,179,8857833.75,5882050.41666667,"Zip Code 02122","Zip Code 02122"
2017,535,183,178,6503648.30681355,5721443.08445532,"Zip Code 02122","Zip Code 02122"
2018,548,169,212,4485502.19036241,6109281.95937873,"Zip Code 02122","Zip Code 02122"
2019,551,200,253,3640148.61165428,7939644.89636293,"Zip Code 02122","Zip Code 02122"
2020,538,200,312,8025499.22720247,22824492.6584235,"Zip Code 02122","Zip Code 02122"
2021,547,297,325,6050573.43173432,19064382.6568266,"Zip Code 02122","Zip Code 02122"
2022,557,242,248,7391000,9646000,"Zip Code 02122","Zip Code 02122"
1998,464,97,101,4025971.7791411,7213349.0797546,"Zip Code 02124","Zip Code 02124"
1999,498,91,133,5119614.64585834,3331087.63505402,"Zip Code 02124","Zip Code 02124"
2000,526,124,177,8135088.26945412,4208624.85481998,"Zip Code 02124","Zip Code 02124"
2001,524,136,262,6610954.26312818,4060778.65612648,"Zip Code 02124","Zip Code 02124"
2002,541,119,388,8693141.18954975,8398651.47304058,"Zip Code 02124","Zip Code 02124"
2003,565,160,378,8992571.19565217,9025977.17391304,"Zip Code 02124","Zip Code 02124"
2004,511,145,402,6196438.85653785,7056409.74060349,"Zip Code 02124","Zip Code 02124"
2005,511,212,328,8798984.6390169,8337378.90424987,"Zip Code 02124","Zip Code 02124"
2006,491,305,731,6998085.31746032,13094550.0992063,"Zip Code 02124","Zip Code 02124"
2007,503,311,608,7240547.99807043,7024517.60733237,"Zip Code 02124","Zip Code 02124"
2008,489,165,516,3294064.56107757,7251564.32884347,"Zip Code 02124","Zip Code 02124"
2009,485,88,254,4507170.62937063,3860365.03496504,"Zip Code 02124","Zip Code 02124"
2010,509,57,231,3436977.07473636,3959032.55387437,"Zip Code 02124","Zip Code 02124"
2011,503,116,221,4823237.88350378,6545079.14628724,"Zip Code 02124","Zip Code 02124"
2012,543,182,234,5563339.72125436,7803208.62369338,"Zip Code 02124","Zip Code 02124"
2013,533,172,174,8607641.20171674,4835203.00429185,"Zip Code 02124","Zip Code 02124"
2014,548,155,198,4174715.67384875,4588972.1166033,"Zip Code 02124","Zip Code 02124"
2015,569,213,200,5492138.8185654,7925130.37974684,"Zip Code 02124","Zip Code 02124"
2016,570,257,248,7696790.41666667,10926247.0833333,"Zip Code 02124","Zip Code 02124"
