"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
1999,"North End","North End",148,126,14080248,16410440
1999,"Roslindale","Roslindale",77,123,1863924,3319437
1999,"Roxbury","Roxbury",91,134,7306330,11584481
1999,"South Boston","South Boston",192,231,15375288,32558913
1999,"South Boston Waterfront","South Boston Waterfront",19,30,1770326,5985776
1999,"South End","South End",180,206,18213688,16097870
1999,"West End","West End",52,47,6109220,8365930
1999,"West Roxbury","West Roxbury",122,137,4819184,5755613
2000,"Allston","Allston",160,240,7419801,9742134
2000,"Back Bay","Back Bay",272,443,21123013,38339961
2000,"Beacon Hill","Beacon Hill",68,159,6861339,3185135
2000,"Brighton","Brighton",188,289,9300814,9820493
2000,"Charlestown","Charlestown",85,184,6790572,13875204
2000,"Chinatown","Chinatown",184,358,11931797,51663196
2000,"Dorchester","Dorchester",284,529,21855496,20227486
2000,"Downtown","Downtown",416,687,33113993,97664988
2000,"East Boston","East Boston",131,243,6061372,3844875
2000,"Fenway","Fenway",122,211,6486314,7994008
2000,"Hyde Park","Hyde Park",97,210,1429147,2909288
2000,"Jamaica Plain","Jamaica Plain",189,257,12409841,4923155
2000,"Longwood","Longwood",5,7,128263,1332317
2000,"Mattapan","Mattapan",56,85,2665352,1065504
2000,"Mission Hill","Mission Hill",52,73,2373278,1969566
2000,"North End","North End",180,229,16912442,23101350
2000,"Roslindale","Roslindale",115,205,2804408,5410957
2000,"Roxbury","Roxbury",100,256,6711446,12169757
2000,"South Boston","South Boston",192,450,17147368,26524006
2000,"South Boston Waterfront","South Boston Waterfront",19,56,1626566,3991924
2000,"South End","South End",200,377,14134052,13865841
2000,"West End","West End",54,128,5705044,2952727
2000,"West Roxbury","West Roxbury",120,235,4574075,3656200
2001,"Allston","Allston",219,270,13823604,18064406
2001,"Back Bay","Back Bay",394,510,29888125,49572242
2001,"Beacon Hill","Beacon Hill",102,124,5106093,9314608
2001,"Brighton","Brighton",244,318,12402052,11678277
2001,"Charlestown","Charlestown",99,335,4429339,16487719
2001,"Chinatown","Chinatown",281,456,12212354,91806422
2001,"Dorchester","Dorchester",364,692,16186565,20623261
2001,"Downtown","Downtown",613,973,31907200,160984274
2001,"East Boston","East Boston",165,275,8473591,11990618
2001,"Fenway","Fenway",148,270,7268745,10931213
2001,"Hyde Park","Hyde Park",105,265,5272557,10032169
2001,"Jamaica Plain","Jamaica Plain",214,309,10175372,11042158
2001,"Longwood","Longwood",11,16,91008,112355
2001,"Mattapan","Mattapan",55,130,2110904,5207390
2001,"Mission Hill","Mission Hill",73,80,2016696,1963077
2001,"North End","North End",236,352,15587280,36162536
2001,"Roslindale","Roslindale",153,207,4376002,5103441
