"YEAR","hh","gq_adj","hu","GEOID","NAME"
2020,19377.572768,110,8932,"Charlestown","Charlestown"
2020,5978.200137,450,2937,"Chinatown","Chinatown"
2020,122007.21582,2591,44823,"Dorchester","Dorchester"
2020,9780.63724,4476,5384,"Downtown","Downtown"
2020,43980.79748,253,16664,"East Boston","East Boston"
2020,23735.896019,16400,13272,"Fenway","Fenway"
2020,33993.86067,154,12469,"Hyde Park","Hyde Park"
2020,40565.778892,1135,17392,"Jamaica Plain","Jamaica Plain"
2020,568.637517,4917,317,"Longwood","Longwood"
2020,23492,348,8820,"Mattapan","Mattapan"
2020,16693.41953,2108,6668,"Mission Hill","Mission Hill"
2020,10859.999698,189,6314,"North End","North End"
2020,29168.4532,504,11682,"Roslindale","Roslindale"
2020,50859.354349,5069,20017,"Roxbury","Roxbury"
2020,39524.666363,369,17961,"South Boston","South Boston"
2020,6228.461519,1,3623,"South Boston Waterfront","South Boston Waterfront"
2020,31755.796688,839,16152,"South End","South End"
2020,8146.65542,574,4572,"West End","West End"
2020,31277.36924,505,13323,"West Roxbury","West Roxbury"
2024,25604.0590795,5910,10781,"Allston","Allston"
2024,17096.264336,1985,10172,"Back Bay","Back Bay"
2024,9242.9131883,33,5516,"Beacon Hill","Beacon Hill"
2024,51027.988062,4074,24008,"Brighton","Brighton"
2024,19158.646461,110,9047,"Charlestown","Charlestown"
2024,5886.382042,450,3088,"Chinatown","Chinatown"
2024,119616.309637,2591,46073,"Dorchester","Dorchester"
2024,11350.805012,4476,5979,"Downtown","Downtown"
2024,45967.6974027,253,17855,"East Boston","East Boston"
2024,25281.8595395,16400,14001,"Fenway","Fenway"
2024,33085.9604921,154,12548,"Hyde Park","Hyde Park"
2024,41630.274447,1135,18098,"Jamaica Plain","Jamaica Plain"
2024,634.047692,4917,317,"Longwood","Longwood"
2024,23781.2678433,348,9275,"Mattapan","Mattapan"
2024,16920.909277,2108,6891,"Mission Hill","Mission Hill"
2024,10484.78347,189,6359,"North End","North End"
2024,28751.749834,504,11872,"Roslindale","Roslindale"
2024,51482.2512414,5069,20644,"Roxbury","Roxbury"
2024,40295.442335,369,18937,"South Boston","South Boston"
2024,7909.9761515,1,4299,"South Boston Waterfront","South Boston Waterfront"
2024,33989.970307,839,17566,"South End","South End"
2024,8714.250976,574,4963,"West End","West End"
2024,30720.9483945,505,13793,"West Roxbury","West Roxbury"
