"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
2019,"Zip Code 02111","Zip Code 02111",164,501,128,130,67,80,16
2019,"Zip Code 02113","Zip Code 02113",89,25,8,26,11,23,4
2019,"Zip Code 02114","Zip Code 02114",122,311,108,87,37,66,10
2019,"Zip Code 02115","Zip Code 02115",184,202,68,85,16,86,5
2019,"Zip Code 02116","Zip Code 02116",305,1196,196,266,87,337,26
2019,"Zip Code 02118","Zip Code 02118",211,280,127,85,111,107,5
2019,"Zip Code 02119","Zip Code 02119",45,96,106,58,60,67,6
2019,"Zip Code 02120","Zip Code 02120",31,41,53,24,4,20,4
2019,"Zip Code 02121","Zip Code 02121",28,43,43,34,23,35,7
2019,"Zip Code 02122","Zip Code 02122",60,121,91,82,109,88,0
2019,"Zip Code 02124","Zip Code 02124",57,97,121,109,88,83,4
2019,"Zip Code 02125","Zip Code 02125",71,124,74,61,68,86,4
2019,"Zip Code 02126","Zip Code 02126",45,39,35,30,30,47,7
2019,"Zip Code 02127","Zip Code 02127",109,236,64,77,124,76,2
2019,"Zip Code 02128","Zip Code 02128",163,204,57,90,227,108,2
2019,"Zip Code 02129","Zip Code 02129",59,229,48,59,97,40,4
2019,"Zip Code 02130","Zip Code 02130",109,178,145,99,54,79,8
2019,"Zip Code 02131","Zip Code 02131",70,111,60,68,64,77,1
2019,"Zip Code 02132","Zip Code 02132",65,147,96,85,71,60,2
2019,"Zip Code 02134","Zip Code 02134",139,168,61,51,63,98,14
2019,"Zip Code 02135","Zip Code 02135",120,196,108,78,86,79,6
2019,"Zip Code 02136","Zip Code 02136",36,93,70,63,119,66,11
2019,"Zip Code 02210","Zip Code 02210",120,634,54,65,165,59,5
2019,"Zip Code 02215","Zip Code 02215",158,158,80,62,21,59,7
2019,"Zip Codes 02108-10","Zip Codes 02108-10",391,3052,210,342,210,224,25
2020,"Zip Code 02111","Zip Code 02111",162,467,127,127,59,78,14
2020,"Zip Code 02113","Zip Code 02113",81,31,7,25,10,21,5
2020,"Zip Code 02114","Zip Code 02114",116,320,112,89,39,61,8
2020,"Zip Code 02115","Zip Code 02115",180,223,75,126,15,82,3
2020,"Zip Code 02116","Zip Code 02116",290,1139,201,267,79,330,26
2020,"Zip Code 02118","Zip Code 02118",210,285,123,95,106,97,4
2020,"Zip Code 02119","Zip Code 02119",42,86,109,63,61,68,7
2020,"Zip Code 02120","Zip Code 02120",28,43,53,28,7,20,2
2020,"Zip Code 02121","Zip Code 02121",33,43,35,37,22,37,3
2020,"Zip Code 02122","Zip Code 02122",62,112,86,79,115,83,1
2020,"Zip Code 02124","Zip Code 02124",56,118,116,109,94,84,3
2020,"Zip Code 02125","Zip Code 02125",72,125,73,70,70,88,3
2020,"Zip Code 02126","Zip Code 02126",42,42,39,34,27,43,9
2020,"Zip Code 02127","Zip Code 02127",97,231,61,81,120,69,4
2020,"Zip Code 02128","Zip Code 02128",159,205,58,91,217,107,4
2020,"Zip Code 02129","Zip Code 02129",53,234,43,66,96,40,3
2020,"Zip Code 02130","Zip Code 02130",110,184,145,103,47,76,9
2020,"Zip Code 02131","Zip Code 02131",67,105,61,77,62,76,2
2020,"Zip Code 02132","Zip Code 02132",63,142,93,83,70,62,5
2020,"Zip Code 02134","Zip Code 02134",141,170,61,51,62,93,11
2020,"Zip Code 02135","Zip Code 02135",123,196,105,83,80,70,10
2020,"Zip Code 02136","Zip Code 02136",36,92,70,62,117,71,11
2020,"Zip Code 02210","Zip Code 02210",117,627,53,85,164,64,4
2020,"Zip Code 02215","Zip Code 02215",161,162,78,78,22,57,7
2020,"Zip Codes 02108-10","Zip Codes 02108-10",378,3052,224,349,193,218,24
2021,"Zip Code 02111","Zip Code 02111",147,443,131,120,58,73,13
2021,"Zip Code 02113","Zip Code 02113",81,35,9,26,9,19,1
2021,"Zip Code 02114","Zip Code 02114",117,339,114,83,41,57,11
2021,"Zip Code 02115","Zip Code 02115",172,243,73,128,15,80,3
2021,"Zip Code 02116","Zip Code 02116",289,1124,203,250,72,313,22
2021,"Zip Code 02118","Zip Code 02118",197,289,123,87,101,94,3
2021,"Zip Code 02119","Zip Code 02119",40,95,109,68,70,70,4
2021,"Zip Code 02120","Zip Code 02120",27,39,48,27,7,21,7
2021,"Zip Code 02121","Zip Code 02121",35,45,37,44,35,34,3
2021,"Zip Code 02122","Zip Code 02122",63,113,87,80,104,94,6
2021,"Zip Code 02124","Zip Code 02124",57,123,117,106,88,88,5
2021,"Zip Code 02125","Zip Code 02125",74,127,73,76,72,90,5
2021,"Zip Code 02126","Zip Code 02126",40,45,45,34,25,47,6
2021,"Zip Code 02127","Zip Code 02127",108,239,64,80,132,75,2
2021,"Zip Code 02128","Zip Code 02128",151,214,68,100,213,102,5
2021,"Zip Code 02129","Zip Code 02129",51,211,43,65,88,41,4
2021,"Zip Code 02130","Zip Code 02130",110,193,150,114,52,78,6
2021,"Zip Code 02131","Zip Code 02131",66,110,59,75,69,76,0
2021,"Zip Code 02132","Zip Code 02132",56,135,96,82,60,62,2
2021,"Zip Code 02134","Zip Code 02134",143,155,55,53,62,94,12
2021,"Zip Code 02135","Zip Code 02135",119,189,107,76,86,69,10
2021,"Zip Code 02136","Zip Code 02136",34,90,78,64,119,70,10
2021,"Zip Code 02210","Zip Code 02210",125,607,63,84,153,61,5
2021,"Zip Code 02215","Zip Code 02215",143,155,75,84,22,58,9
2021,"Zip Codes 02108-10","Zip Codes 02108-10",394,2987,222,338,196,199,26
