"GEOID","NAME","lhs","he","sc","bm","YEAR"
"Beacon Hill","Beacon Hill",33,230,603,5758,2010
"Brighton","Brighton",2439,5215,3843,18654,2010
"Charlestown","Charlestown",1234,2392,1609,7248,2010
"Chinatown","Chinatown",803,442,244,797,2010
"Dorchester","Dorchester",15425,20858,15961,15202,2010
"Downtown","Downtown",1335,815,661,3905,2010
"East Boston","East Boston",9568,10012,3641,4425,2010
"Fenway","Fenway",589,1386,1307,8102,2010
"Harbor Islands","Harbor Islands",134,270,153,4,2010
"Hyde Park","Hyde Park",2827,7183,5968,5659,2010
"Jamaica Plain","Jamaica Plain",2928,3458,4215,14537,2010
"Longwood","Longwood",16,25,54,239,2010
"Mattapan","Mattapan",3040,5889,4285,2740,2010
"Mission Hill","Mission Hill",1398,1534,1454,2666,2010
"North End","North End",426,634,946,5052,2010
"Roslindale","Roslindale",2398,5544,4505,7881,2010
"Roxbury","Roxbury",6258,7583,6344,5827,2010
"South Boston","South Boston",2688,5726,3433,10770,2010
"South Boston Waterfront","South Boston Waterfront",87,159,120,778,2010
"South End","South End",3484,3569,3250,12697,2010
"West End","West End",374,356,599,3174,2010
"West Roxbury","West Roxbury",1307,4947,4376,10471,2010
"Allston","Allston",746,1627,1746,12816,2020
"Back Bay","Back Bay",238,533,967,12268,2020
"Beacon Hill","Beacon Hill",106,188,369,6876,2020
"Brighton","Brighton",2808,3880,4656,25645,2020
"Charlestown","Charlestown",1308,2065,1560,9941,2020
"Chinatown","Chinatown",1038,655,308,2393,2020
"Dorchester","Dorchester",13895,24069,19437,25475,2020
"Downtown","Downtown",1109,789,825,6427,2020
"East Boston","East Boston",7739,8504,5108,9207,2020
"Fenway","Fenway",851,1366,1815,12033,2020
"Hyde Park","Hyde Park",3430,6276,7152,7468,2020
"Jamaica Plain","Jamaica Plain",2467,3986,3922,21288,2020
"Longwood","Longwood",13,28,48,447,2020
"Mattapan","Mattapan",2517,5230,5312,3285,2020
"Mission Hill","Mission Hill",1551,1263,1932,4552,2020
"North End","North End",256,633,846,6806,2020
"Roslindale","Roslindale",1996,4123,4687,10937,2020
"Roxbury","Roxbury",6864,9792,8176,8849,2020
"South Boston","South Boston",1969,4307,3507,21011,2020
"South Boston Waterfront","South Boston Waterfront",0,88,435,4984,2020
"South End","South End",3434,2884,3041,16803,2020
"West End","West End",385,632,660,5190,2020
"West Roxbury","West Roxbury",1435,3858,4540,13644,2020
"Allston","Allston",803,1753,1881,13804,2024
"Back Bay","Back Bay",245,547,993,12588,2024
"Beacon Hill","Beacon Hill",107,191,374,6959,2024
"Brighton","Brighton",2934,4053,4863,26788,2024
"Charlestown","Charlestown",1319,2083,1574,10026,2024
"Chinatown","Chinatown",1062,671,315,2449,2024
"Dorchester","Dorchester",13831,23958,19347,25357,2024
"Downtown","Downtown",1248,887,928,7232,2024
"East Boston","East Boston",8298,9118,5478,9873,2024
"Fenway","Fenway",951,1525,2027,13435,2024
"Hyde Park","Hyde Park",3425,6268,7142,7458,2024
"Jamaica Plain","Jamaica Plain",2576,4161,4095,22224,2024
"Longwood","Longwood",14,30,52,485,2024
"Mattapan","Mattapan",2611,5425,5510,3408,2024
"Mission Hill","Mission Hill",1596,1300,1988,4683,2024
"North End","North End",255,629,842,6768,2024
"Roslindale","Roslindale",2012,4156,4725,11024,2024
"Roxbury","Roxbury",6919,9870,8242,8920,2024
"South Boston","South Boston",2045,4473,3642,21821,2024
"South Boston Waterfront","South Boston Waterfront",0,108,536,6142,2024
"South End","South End",3720,3124,3294,18202,2024
"West End","West End",440,723,755,5937,2024
"West Roxbury","West Roxbury",1463,3934,4629,13912,2024
