GEOID,NAME,YEAR,SUMMARY_VALUE,MOE
25025082100,Census Tract 821,2012,20125,6947
25025060200,Census Tract 602,2012,89352,10404
25025090400,Census Tract 904,2012,32851,4683
25025120500,Census Tract 1205,2012,48804,7946
25025101001,Census Tract 1010.01,2012,54688,14212
25025080100,Census Tract 801,2012,30882,4161
25025120400,Census Tract 1204,2012,90123,11648
25025120700,Census Tract 1207,2012,73295,8313
25025140201,Census Tract 1402.01,2012,70446,15690
25025000402,Census Tract 4.02,2012,57064,12289
25025020303,Census Tract 203.03,2012,83701,21262
25025040401,Census Tract 404.01,2012,75107,19179
25025040801,Census Tract 408.01,2012,37439,15416
25025050101,Census Tract 501.01,2012,40301,5806
25025050901,Census Tract 509.01,2012,56250,13038
25025051101,Census Tract 511.01,2012,54576,12436
25025060101,Census Tract 601.01,2012,80281,8870
25025060301,Census Tract 603.01,2012,86719,14443
25025060501,Census Tract 605.01,2012,96225,6267
25025061101,Census Tract 611.01,2012,15027,2593
25025070101,Census Tract 701.01,2012,72071,23905
25025070402,Census Tract 704.02,2012,15616,2829
25025071101,Census Tract 711.01,2012,42418,6512
25025080401,Census Tract 804.01,2012,16300,3341
25025071201,Census Tract 712.01,2012,22354,13358
25025080601,Census Tract 806.01,2012,22209,11721
25025080801,Census Tract 808.01,2012,15603,3598
25025081001,Census Tract 810.01,2012,23180,7093
25025090901,Census Tract 909.01,2012,23224,5842
25025091001,Census Tract 910.01,2012,59103,13712
25025000601,Census Tract 6.01,2012,56477,13383
25025030200,Census Tract 302,2012,68140,8347
25025030500,Census Tract 305,2012,102218,13874
25025040200,Census Tract 402,2012,48750,13813
25025050200,Census Tract 502,2012,50030,7045
25025050300,Census Tract 503,2012,15131,3079
25025050600,Census Tract 506,2012,58674,12966
25025070300,Census Tract 703,2012,116875,29596
25025070500,Census Tract 705,2012,76336,23919
25025070800,Census Tract 708,2012,64338,25369
25025092101,Census Tract 921.01,2012,47449,9273
25025100603,Census Tract 1006.03,2012,65938,22207
25025110103,Census Tract 1101.03,2012,66735,11325
25025110201,Census Tract 1102.01,2012,51316,9216
25025110301,Census Tract 1103.01,2012,72435,14800
25025110403,Census Tract 1104.03,2012,64357,4406
25025120103,Census Tract 1201.03,2012,176357,14674
25025120105,Census Tract 1201.05,2012,169432,24571
25025120201,Census Tract 1202.01,2012,59167,11322
25025110607,Census Tract 1106.07,2012,79024,14069
25025120104,Census Tract 1201.04,2012,66136,12785
25025120301,Census Tract 1203.01,2012,67000,27066
25025130404,Census Tract 1304.04,2012,71250,22952
25025130406,Census Tract 1304.06,2012,30147,8262
25025140106,Census Tract 1401.06,2012,28633,10906
25025140107,Census Tract 1401.07,2012,52009,8309
25025020303,Census Tract 203.03,2014,85119,15655
25025040401,Census Tract 404.01,2014,57569,26799
25025040801,Census Tract 408.01,2014,54159,9994
25025050101,Census Tract 501.01,2014,42763,4783
25025050901,Census Tract 509.01,2014,62570,9181
25025051101,Census Tract 511.01,2014,47813,11961
25025060101,Census Tract 601.01,2014,94526,12556
