YEAR,GEOID,ilf_f,ilf_m,nilf_f,nilf_m,NAME
2010,25025050700,1245,1927,451,222,Census Tract 507
2010,25025050901,842,1535,699,390,Census Tract 509.01
2010,25025051000,875,1149,782,482,Census Tract 510
2010,25025051101,1801,2269,759,572,Census Tract 511.01
2010,25025051200,685,913,238,163,Census Tract 512
2010,25025060101,1078,1098,339,273,Census Tract 601.01
2010,25025060200,642,872,171,91,Census Tract 602
2010,25025060301,1042,953,353,169,Census Tract 603.01
2010,25025060400,1761,1463,781,445,Census Tract 604
2010,25025060501,1554,993,298,226,Census Tract 605.01
2010,25025060601,332,397,76,64,Census Tract 606.01
2010,25025060602,18,22,4,4,Census Tract 606.02
2010,25025060603,192,230,44,37,Census Tract 606.03
2010,25025060604,103,124,23,20,Census Tract 606.04
2010,25025060700,511,238,429,212,Census Tract 607
2010,25025060800,1379,1235,346,294,Census Tract 608
2010,25025061000,660,794,651,446,Census Tract 610
2010,25025061101,558,214,516,297,Census Tract 611.01
2010,25025061201,443,620,131,119,Census Tract 612.01
2010,25025061203,336,470,99,90,Census Tract 612.03
2010,25025061204,155,217,46,42,Census Tract 612.04
2010,25025070102,505,616,487,504,Census Tract 701.02
2010,25025070104,284,346,274,283,Census Tract 701.04
2010,25025070201,616,632,617,639,Census Tract 702.01
2010,25025070202,870,943,862,893,Census Tract 702.02
2010,25025070301,731,845,449,227,Census Tract 703.01
2010,25025070302,622,720,382,193,Census Tract 703.02
2010,25025070402,321,455,436,345,Census Tract 704.02
2010,25025070501,664,1009,264,519,Census Tract 705.01
2010,25025070502,1076,1635,427,841,Census Tract 705.02
2010,25025070600,633,1186,182,159,Census Tract 706
2010,25025070700,912,620,365,151,Census Tract 707
2010,25025070801,323,351,140,130,Census Tract 708.01
2010,25025070802,782,849,338,316,Census Tract 708.02
2010,25025070901,341,302,133,145,Census Tract 709.01
2010,25025070902,627,556,246,268,Census Tract 709.02
2010,25025071101,874,1377,480,682,Census Tract 711.01
2010,25025071201,512,1021,404,493,Census Tract 712.01
2010,25025080100,319,400,478,1325,Census Tract 801
2010,25025080300,416,290,497,256,Census Tract 803
2010,25025080401,569,287,574,223,Census Tract 804.01
2010,25025080500,674,418,537,434,Census Tract 805
2010,25025080601,705,584,297,250,Census Tract 806.01
2010,25025080801,672,698,695,618,Census Tract 808.01
2010,25025080900,1048,1175,699,542,Census Tract 809
2010,25025081001,1354,1213,858,854,Census Tract 810.01
2010,25025081101,268,363,146,127,Census Tract 811.01
2010,25025081102,846,1145,463,402,Census Tract 811.02
2010,25025081200,790,510,730,224,Census Tract 812
2010,25025081301,405,321,426,440,Census Tract 813.01
2010,25025081302,551,438,580,599,Census Tract 813.02
2010,25025081400,837,1146,262,291,Census Tract 814
2010,25025081500,633,508,380,110,Census Tract 815
2010,25025081700,696,819,598,351,Census Tract 817
2010,25025081800,914,595,333,292,Census Tract 818
2010,25025081900,882,503,309,320,Census Tract 819
2010,25025082000,855,645,387,208,Census Tract 820
2010,25025082100,1124,870,885,520,Census Tract 821
2010,25025090100,1128,1287,779,381,Census Tract 901
2010,25025090200,580,349,345,141,Census Tract 902
2010,25025090300,671,481,416,230,Census Tract 903
2010,25025090400,881,832,513,316,Census Tract 904
2010,25025090600,663,344,249,128,Census Tract 906
2010,25025090700,1224,1308,537,490,Census Tract 907
2010,25025090901,953,1104,672,590,Census Tract 909.01
2010,25025091001,799,675,388,302,Census Tract 910.01
2010,25025091100,1212,1343,585,302,Census Tract 911
2010,25025091200,764,922,431,252,Census Tract 912
2010,25025091300,442,338,366,170,Census Tract 913
2010,25025091400,785,464,315,290,Census Tract 914
2010,25025091500,1179,1133,646,616,Census Tract 915
2010,25025091600,678,847,451,301,Census Tract 916
2010,25025091700,953,884,371,230,Census Tract 917
2010,25025091800,889,807,406,185,Census Tract 918
2010,25025091900,859,760,588,275,Census Tract 919
2010,25025092000,1394,1176,817,467,Census Tract 920
2010,25025092101,1747,1502,872,676,Census Tract 921.01
2010,25025092200,579,1293,428,248,Census Tract 922
2010,25025092300,794,800,221,387,Census Tract 923
2010,25025092400,1783,1429,600,343,Census Tract 924
2010,25025100100,1445,1081,721,475,Census Tract 1001
2010,25025100200,840,609,443,358,Census Tract 1002
2010,25025100300,987,896,487,362,Census Tract 1003
2010,25025100400,1417,1222,653,413,Census Tract 1004
2010,25025100500,1374,1474,641,297,Census Tract 1005
2010,25025100601,1359,1613,617,346,Census Tract 1006.01
2010,25025100603,510,591,486,160,Census Tract 1006.03
2010,25025100700,1196,1208,742,325,Census Tract 1007
2010,25025100800,1804,1498,831,614,Census Tract 1008
2010,25025100900,1285,1228,573,259,Census Tract 1009
2010,25025101001,1816,1310,1168,606,Census Tract 1010.01
2010,25025101002,1832,1243,1098,753,Census Tract 1010.02
2010,25025101101,949,1065,430,202,Census Tract 1011.01
2010,25025101102,1294,977,599,303,Census Tract 1011.02
2010,25025110104,837,594,253,207,Census Tract 1101.04
2010,25025110105,721,507,201,175,Census Tract 1101.05
2010,25025110106,494,348,137,120,Census Tract 1101.06
2010,25025110201,629,487,256,146,Census Tract 1102.01
2010,25025110301,831,910,135,84,Census Tract 1103.01
2010,25025110401,1151,879,475,365,Census Tract 1104.01
