"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2009,"25025040401","Census Tract 404.01",12,30,1232206,410735
2009,"25025040600","Census Tract 406",15,54,1329090,3370485
2009,"25025040801","Census Tract 408.01",13,54,425745,3628388
2009,"25025050101","Census Tract 501.01",3,13,13646,54583
2009,"25025050200","Census Tract 502",8,15,824200,40937
2009,"25025050300","Census Tract 503",3,8,70958,189675
2009,"25025050400","Census Tract 504",6,13,167842,125540
2009,"25025050500","Census Tract 505",3,5,484422,10917
2009,"25025050600","Census Tract 506",8,10,1106665,150103
2009,"25025050700","Census Tract 507",6,8,311122,32750
2009,"25025050901","Census Tract 509.01",10,33,1207643,424381
2009,"25025051000","Census Tract 510",6,24,582671,1330455
2009,"25025051101","Census Tract 511.01",21,26,383444,156925
2009,"25025051200","Census Tract 512",6,30,121447,1541963
2009,"25025060101","Census Tract 601.01",4,23,162384,615421
2009,"25025060200","Census Tract 602",4,12,42302,133728
2009,"25025060301","Census Tract 603.01",7,24,865137,301570
2009,"25025060400","Census Tract 604",13,27,526724,73687
2009,"25025060501","Census Tract 605.01",23,64,2385266,3833074
2009,"25025060601","Census Tract 606.01",25,155,1537311,20759804
2009,"25025060602","Census Tract 606.02",2,10,96776,1306861
2009,"25025060604","Census Tract 606.04",7,43,426412,5758256
2009,"25025060800","Census Tract 608",7,31,171936,260633
2009,"25025061000","Census Tract 610",2,5,19104,12281
2009,"25025061101","Census Tract 611.01",0,2,0,8187
2009,"25025061201","Census Tract 612.01",17,102,408433,8858727
2009,"25025061202","Census Tract 612.02",,,,
2009,"25025061203","Census Tract 612.03",5,27,106651,2313222
2009,"25025061204","Census Tract 612.04",1,5,21192,459636
2009,"25025070102","Census Tract 701.02",74,428,7381477,47634648
2009,"25025070104","Census Tract 701.04",32,187,3266356,20304353
2009,"25025070201","Census Tract 702.01",10,31,572424,863554
2009,"25025070202","Census Tract 702.02",50,263,4567912,26417975
2009,"25025070301","Census Tract 703.01",22,99,1365099,5976100
2009,"25025070302","Census Tract 703.02",16,71,968314,4239063
2009,"25025070402","Census Tract 704.02",2,11,304299,547192
2009,"25025070501","Census Tract 705.01",6,32,224019,1911793
2009,"25025070502","Census Tract 705.02",11,56,396860,3386828
2009,"25025070600","Census Tract 706",13,46,237435,664545
2009,"25025070700","Census Tract 707",16,68,347965,2549015
2009,"25025070801","Census Tract 708.01",3,7,63968,289963
2009,"25025070802","Census Tract 708.02",8,18,163915,743016
2009,"25025070901","Census Tract 709.01",2,9,169113,99272
2009,"25025070902","Census Tract 709.02",4,18,356246,209121
2009,"25025071101","Census Tract 711.01",7,25,79145,143280
2009,"25025071201","Census Tract 712.01",26,79,2287017,4565847
2009,"25025080100","Census Tract 801",8,64,633160,8607700
2009,"25025080300","Census Tract 803",1,6,341142,367069
2009,"25025080401","Census Tract 804.01",4,17,80806,234599
2009,"25025080500","Census Tract 805",2,5,62473,229354
2009,"25025080601","Census Tract 806.01",5,14,1188539,356152
2009,"25025080801","Census Tract 808.01",0,6,0,143814
2009,"25025080900","Census Tract 809",8,27,207414,584035
2009,"25025081001","Census Tract 810.01",5,13,62770,218331
2009,"25025081101","Census Tract 811.01",2,9,26787,243173
2009,"25025081102","Census Tract 811.02",5,19,60546,549642
2009,"25025081200","Census Tract 812",3,14,44531,55327
2009,"25025081301","Census Tract 813.01",4,7,170076,73414
2009,"25025081302","Census Tract 813.02",4,9,209275,90334
2009,"25025081400","Census Tract 814",8,15,169207,181488
2009,"25025081500","Census Tract 815",0,9,0,50489
2009,"25025081700","Census Tract 817",0,14,0,1148967
2009,"25025081800","Census Tract 818",2,9,1071187,182852
2009,"25025081900","Census Tract 819",0,9,0,21833
2009,"25025082000","Census Tract 820",3,17,17739,61406
2009,"25025082100","Census Tract 821",4,5,286559,16375
2009,"25025090100","Census Tract 901",3,14,25927,84603
2009,"25025090200","Census Tract 902",4,5,335684,356152
2009,"25025090300","Census Tract 903",3,7,16375,20469
2009,"25025090400","Census Tract 904",1,13,9552,19104
2009,"25025090600","Census Tract 906",3,15,148738,1419152
2009,"25025090700","Census Tract 907",8,53,508984,4527639
2009,"25025090901","Census Tract 909.01",3,11,55947,219696
2009,"25025091001","Census Tract 910.01",11,46,91426,2259726
2009,"25025091100","Census Tract 911",5,26,30021,395725
2009,"25025091200","Census Tract 912",3,12,689107,19104
2009,"25025091300","Census Tract 913",3,12,125540,181488
2009,"25025091400","Census Tract 914",3,4,106436,23198
2009,"25025091500","Census Tract 915",7,26,75051,863772
2009,"25025091600","Census Tract 916",17,30,1382308,801002
2009,"25025091700","Census Tract 917",1,10,8187,32750
2009,"25025091800","Census Tract 918",1,16,6823,80510
2009,"25025091900","Census Tract 919",5,7,820106,30021
2009,"25025092000","Census Tract 920",7,22,1177623,81874
2009,"25025092101","Census Tract 921.01",18,86,1644305,4620430
2009,"25025092200","Census Tract 922",6,20,90062,607233
2009,"25025092300","Census Tract 923",4,12,72322,58676
2009,"25025092400","Census Tract 924",4,11,937459,107801
2009,"25025100100","Census Tract 1001",3,18,17739,150103
2009,"25025100200","Census Tract 1002",2,3,13646,8187
2009,"25025100300","Census Tract 1003",1,6,27291,34114
2009,"25025100400","Census Tract 1004",9,28,70958,170571
2009,"25025100500","Census Tract 1005",11,29,174665,368434
2009,"25025100601","Census Tract 1006.01",12,27,780533,1165342
2009,"25025100603","Census Tract 1006.03",13,18,547192,679555
2009,"25025100700","Census Tract 1007",18,49,1136686,611327
2009,"25025100800","Census Tract 1008",23,56,788721,1662045
2009,"25025100900","Census Tract 1009",4,22,32750,272914
2009,"25025101001","Census Tract 1010.01",5,27,34114,267455
