"GEOID","NAME","ilf_m","ilf_f","nilf_m","nilf_f","YEAR"
"South End","South End",9504,5221,4263,5783,1960
"West End","West End",549,511,346,385,1960
"West Roxbury","West Roxbury",8000,4670,2254,7624,1960
"Allston","Allston",5921,3606,2078,5379,1950
"Back Bay","Back Bay",5275,5653,3018,5937,1950
"Beacon Hill","Beacon Hill",4052,3660,1805,3210,1950
"Brighton","Brighton",13044,7685,3714,13468,1950
"Charlestown","Charlestown",11233,3077,2918,6712,1950
"Chinatown","Chinatown",1116,312,574,429,1950
"Dorchester","Dorchester",46470,21472,12090,45759,1950
"Downtown","Downtown",1783,441,816,637,1950
"East Boston","East Boston",14809,6346,4163,13150,1950
"Fenway","Fenway",6778,6551,3935,6674,1950
"Harbor Islands","Harbor Islands",136,102,1612,246,1950
"Hyde Park","Hyde Park",7407,3081,1920,7034,1950
"Jamaica Plain","Jamaica Plain",13725,7252,4735,15329,1950
"Longwood","Longwood",469,547,402,968,1950
"Mattapan","Mattapan",6936,2584,2008,7062,1950
"Mission Hill","Mission Hill",4839,3665,1784,5893,1950
"North End","North End",5572,2093,1445,3912,1950
"Roslindale","Roslindale",8870,4218,2968,9490,1950
"Roxbury","Roxbury",27442,14007,9115,27404,1950
"South Boston","South Boston",15216,6859,4378,13536,1950
"South Boston Waterfront","South Boston Waterfront",184,95,63,158,1950
"South End","South End",14583,7985,6105,10537,1950
"West End","West End",3852,1979,1246,3094,1950
"West Roxbury","West Roxbury",7520,3515,2219,8078,1950
"Allston","Allston",8879.2664651,10032.1957434,4270.0362362,5304.8572646,2020
"Back Bay","Back Bay",6061.5124264,6050.3897264,2377.5299945,3760.7155489,2020
"Beacon Hill","Beacon Hill",3260.017769,3687.942241,611.746206,1531.007371,2020
"Brighton","Brighton",16764.2117565,20285.5186647,6195.8910574,7228.6852559,2020
"Charlestown","Charlestown",6060.8214128,8034.3827084,1304.0255684,2381.5364832,2020
"Chinatown","Chinatown",1752.7123539,2083.9317321,896.6553787,1210.4706342,2020
"Dorchester","Dorchester",32797.0595289,42819.2088754,13188.3178828,22792.6337337,2020
"Downtown","Downtown",3879.964583,4051.59284,2577.699599,3189.783327,2020
"East Boston","East Boston",14308.9366141,15881.7750053,3650.9820719,6053.5436102,2020
"Fenway","Fenway",9820.923604,13323.584734,8298.523595,8194.489468,2020
"Hyde Park","Hyde Park",8319.6439345,12277.3233446,4362.9588829,5890.8776934,2020
"Jamaica Plain","Jamaica Plain",12021.0015248,15807.4409847,3831.1258573,6694.3589949,2020
"Longwood","Longwood",944.710929,2136.344507,1028.093366,1411.487779,2020
"Mattapan","Mattapan",5790.3637011,9022.2727426,2271.7409599,4143.0270574,2020
"Mission Hill","Mission Hill",4542.7159944,6108.4600675,3469.5441315,3579.3213886,2020
"North End","North End",3967.7589015,4872.16248,709.2731422,1134.53796,2020
"Roslindale","Roslindale",7969.4708492,11029.5971783,2641.6330914,4980.644021,2020
"Roxbury","Roxbury",11636.2315548,18027.3944591,8082.8754884,12202.5028844,2020
