"GEOID","NAME","white","black","hisp","native","asian","two_plus","other","YEAR"
"Roxbury","Roxbury",7434,23042,17012,104,3386,3770,1167,2020
"South Boston","South Boston",30589,1617,4163,33,2185,1106,204,2020
"South Boston Waterfront","South Boston Waterfront",4813,181,355,2,539,261,77,2020
"South End","South End",18285,3422,4236,53,5145,1239,207,2020
"West End","West End",5467,410,742,9,1622,346,127,2020
"West Roxbury","West Roxbury",21056,3336,3596,26,2479,1073,221,2020
"Allston","Allston",16003,1683,4063,19,7860,1513,370,2024
"Back Bay","Back Bay",13754,717,1255,13,2515,721,102,2024
"Beacon Hill","Beacon Hill",7489,258,526,1,630,325,44,2024
"Brighton","Brighton",34639,2547,5627,67,9269,2184,757,2024
"Charlestown","Charlestown",13813,987,2050,15,1660,647,97,2024
"Chinatown","Chinatown",1910,261,455,2,3526,167,17,2024
"Dorchester","Dorchester",27507,42783,24969,339,13523,9511,3506,2024
"Downtown","Downtown",9777,630,1092,8,3723,502,93,2024
"East Boston","East Boston",17048,1525,23142,46,2091,1650,710,2024
"Fenway","Fenway",21781,2708,4483,47,10204,1938,531,2024
"Hyde Park","Hyde Park",7596,15237,7922,58,714,1362,351,2024
"Jamaica Plain","Jamaica Plain",22973,4852,9223,57,3307,2045,312,2024
"Longwood","Longwood",2818,551,1214,1,546,401,18,2024
"Mattapan","Mattapan",1534,16583,4037,54,494,1210,226,2024
"Mission Hill","Mission Hill",7156,2617,3644,25,4758,635,195,2024
"North End","North End",9220,139,501,9,435,322,46,2024
"Roslindale","Roslindale",13979,5731,7096,29,974,1202,249,2024
"Roxbury","Roxbury",7687,23306,16963,104,3530,3786,1164,2024
"South Boston","South Boston",31289,1603,4175,34,2269,1096,202,2024
"South Boston Waterfront","South Boston Waterfront",6053,241,472,3,685,364,90,2024
"South End","South End",19577,3611,4453,56,5613,1289,220,2024
"West End","West End",5923,429,756,11,1699,360,112,2024
"West Roxbury","West Roxbury",20970,3188,3427,25,2415,997,207,2024
