YEAR,GEOID,native,foreign,NAME
1970,25025000807,1133,205,Census Tract 8.07
1970,25025010103,3903,202,Census Tract 101.03
1970,25025010104,5837,302,Census Tract 101.04
1970,25025010204,2392,398,Census Tract 102.04
1970,25025010205,1860,309,Census Tract 102.05
1970,25025010206,1376,229,Census Tract 102.06
1970,25025010300,3721,155,Census Tract 103
1970,25025010403,2052,344,Census Tract 104.03
1970,25025010404,2690,451,Census Tract 104.04
1970,25025010405,3503,587,Census Tract 104.05
1970,25025010408,1070,178,Census Tract 104.08
1970,25025010500,2338,294,Census Tract 105
1970,25025010600,1557,273,Census Tract 106
1970,25025010701,3400,306,Census Tract 107.01
1970,25025010702,3266,294,Census Tract 107.02
1970,25025010801,2785,288,Census Tract 108.01
1970,25025010802,2903,301,Census Tract 108.02
1970,25025020101,4970,473,Census Tract 201.01
1970,25025020200,3312,535,Census Tract 202
1970,25025020301,1557,235,Census Tract 203.01
1970,25025020302,971,146,Census Tract 203.02
1970,25025020304,90,13,Census Tract 203.04
1970,25025020305,1188,178,Census Tract 203.05
1970,25025030100,2240,964,Census Tract 301
1970,25025030200,1196,673,Census Tract 302
1970,25025030301,287,29,Census Tract 303.01
1970,25025030302,309,43,Census Tract 303.02
1970,25025030400,2361,998,Census Tract 304
1970,25025030500,1195,721,Census Tract 305
1970,25025040100,1645,135,Census Tract 401
1970,25025040200,2183,200,Census Tract 402
1970,25025040300,4820,330,Census Tract 403
1970,25025040401,1886,84,Census Tract 404.01
1970,25025040600,2468,174,Census Tract 406
1970,25025040801,1367,134,Census Tract 408.01
1970,25025050101,3383,474,Census Tract 501.01
1970,25025050200,3603,805,Census Tract 502
1970,25025050300,1606,243,Census Tract 503
1970,25025050400,1645,395,Census Tract 504
1970,25025050500,1196,632,Census Tract 505
1970,25025050600,1219,324,Census Tract 506
1970,25025050700,2954,1106,Census Tract 507
1970,25025050901,3705,661,Census Tract 509.01
1970,25025051000,4701,400,Census Tract 510
1970,25025051101,5881,843,Census Tract 511.01
1970,25025051200,2576,452,Census Tract 512
1970,25025060101,3940,371,Census Tract 601.01
1970,25025060200,2439,225,Census Tract 602
1970,25025060301,3695,388,Census Tract 603.01
1970,25025060400,5256,805,Census Tract 604
1970,25025060501,4448,302,Census Tract 605.01
1970,25025060601,694,99,Census Tract 606.01
1970,25025060602,47,7,Census Tract 606.02
1970,25025060603,31,4,Census Tract 606.03
1970,25025060604,99,14,Census Tract 606.04
1970,25025060700,3309,219,Census Tract 607
1970,25025060800,3630,291,Census Tract 608
1970,25025061000,3384,325,Census Tract 610
1970,25025061101,1750,252,Census Tract 611.01
1970,25025061201,2045,285,Census Tract 612.01
1970,25025061202,,,Census Tract 612.02
1970,25025061203,357,52,Census Tract 612.03
1970,25025061204,68,10,Census Tract 612.04
1970,25025070102,302,165,Census Tract 701.02
1970,25025070103,20,11,Census Tract 701.03
1970,25025070104,115,63,Census Tract 701.04
1970,25025070201,419,209,Census Tract 702.01
1970,25025070202,1003,516,Census Tract 702.02
1970,25025070301,1563,293,Census Tract 703.01
1970,25025070302,950,182,Census Tract 703.02
1970,25025070402,1362,346,Census Tract 704.02
1970,25025070501,1255,471,Census Tract 705.01
1970,25025070502,2268,850,Census Tract 705.02
1970,25025070600,2209,256,Census Tract 706
1970,25025070700,654,42,Census Tract 707
1970,25025070801,591,37,Census Tract 708.01
1970,25025070802,1649,102,Census Tract 708.02
1970,25025070901,654,91,Census Tract 709.01
1970,25025070902,1103,153,Census Tract 709.02
1970,25025071101,1898,337,Census Tract 711.01
1970,25025071201,2070,242,Census Tract 712.01
1970,25025080100,2154,386,Census Tract 801
1970,25025080300,3031,254,Census Tract 803
1970,25025080401,2125,81,Census Tract 804.01
1970,25025080500,1285,132,Census Tract 805
1970,25025080601,1540,137,Census Tract 806.01
1970,25025080801,4664,241,Census Tract 808.01
1970,25025080900,3280,508,Census Tract 809
1970,25025081001,4052,1016,Census Tract 810.01
1970,25025081101,851,145,Census Tract 811.01
1970,25025081102,1837,302,Census Tract 811.02
1970,25025081200,4440,427,Census Tract 812
1970,25025081301,1566,122,Census Tract 813.01
1970,25025081302,2189,171,Census Tract 813.02
1970,25025081400,2871,444,Census Tract 814
1970,25025081500,2622,284,Census Tract 815
1970,25025081700,4363,251,Census Tract 817
1970,25025081800,3532,279,Census Tract 818
1970,25025081900,4133,228,Census Tract 819
1970,25025082000,3377,160,Census Tract 820
1970,25025082100,5175,348,Census Tract 821
1970,25025090100,5873,504,Census Tract 901
1970,25025090200,2303,255,Census Tract 902
1970,25025090300,2955,234,Census Tract 903
1970,25025090400,4444,369,Census Tract 904
1970,25025090600,2148,454,Census Tract 906
1970,25025090700,4476,953,Census Tract 907
1970,25025090901,4499,180,Census Tract 909.01
1970,25025091001,3200,460,Census Tract 910.01
1970,25025091100,5414,867,Census Tract 911
1970,25025091200,3047,524,Census Tract 912
1970,25025091300,2476,304,Census Tract 913
1970,25025091400,3002,333,Census Tract 914
1970,25025091500,5012,648,Census Tract 915
1970,25025091600,3167,419,Census Tract 916
1970,25025091700,3323,492,Census Tract 917
1970,25025091800,4313,416,Census Tract 918
1970,25025091900,4922,376,Census Tract 919
1970,25025092000,5845,696,Census Tract 920
1970,25025092101,6102,890,Census Tract 921.01
1970,25025092200,3754,561,Census Tract 922
1970,25025092300,3336,405,Census Tract 923
1970,25025092400,6656,833,Census Tract 924
1970,25025100100,6839,784,Census Tract 1001
1970,25025100200,3971,369,Census Tract 1002
1970,25025100300,3888,717,Census Tract 1003
1970,25025100400,4520,713,Census Tract 1004
1970,25025100500,6484,912,Census Tract 1005
1970,25025100601,6253,710,Census Tract 1006.01
1970,25025100603,2401,273,Census Tract 1006.03
1970,25025100700,4719,629,Census Tract 1007
1970,25025100800,5368,746,Census Tract 1008
1970,25025100900,3903,518,Census Tract 1009
1970,25025101001,4916,1028,Census Tract 1010.01
1970,25025101002,4466,929,Census Tract 1010.02
1970,25025101101,3384,801,Census Tract 1011.01
1970,25025101102,4507,1125,Census Tract 1011.02
1970,25025110104,2431,310,Census Tract 1101.04
1970,25025110105,2778,346,Census Tract 1101.05
1970,25025110106,1618,201,Census Tract 1101.06
1970,25025110201,1737,387,Census Tract 1102.01
1970,25025110301,2464,445,Census Tract 1103.01
1970,25025110401,3133,617,Census Tract 1104.01
1970,25025110403,3672,723,Census Tract 1104.03
1970,25025110501,3607,617,Census Tract 1105.01
1970,25025110502,3961,677,Census Tract 1105.02
1970,25025110601,2499,500,Census Tract 1106.01
1970,25025110607,5667,1135,Census Tract 1106.07
1970,25025120103,1592,276,Census Tract 1201.03
1970,25025120104,2381,413,Census Tract 1201.04
1970,25025120105,2567,445,Census Tract 1201.05
1970,25025120201,3694,726,Census Tract 1202.01
1970,25025120301,4453,1114,Census Tract 1203.01
1970,25025120400,5930,1370,Census Tract 1204
1970,25025120500,1484,825,Census Tract 1205
1970,25025120600,2637,901,Census Tract 1206
1970,25025120700,1838,566,Census Tract 1207
1970,25025130101,5040,894,Census Tract 1301.01
1970,25025130200,5728,693,Census Tract 1302
1970,25025130300,5331,706,Census Tract 1303
1970,25025130402,4692,706,Census Tract 1304.02
1970,25025130404,2383,360,Census Tract 1304.04
1970,25025130406,4061,614,Census Tract 1304.06
1970,25025140102,4524,482,Census Tract 1401.02
1970,25025140105,3775,402,Census Tract 1401.05
1970,25025140106,2442,260,Census Tract 1401.06
1970,25025140107,2782,296,Census Tract 1401.07
1970,25025140201,2428,236,Census Tract 1402.01
1970,25025140202,6400,623,Census Tract 1402.02
1970,25025140300,5292,961,Census Tract 1403
1970,25025140400,6535,825,Census Tract 1404
1970,25025980101,,,Census Tract 9801.01
1970,25025980300,,,Census Tract 9803
1970,25025980700,,,Census Tract 9807
1970,25025980900,,,Census Tract 9809
1970,25025981000,,,Census Tract 9810
1970,25025981100,,,Census Tract 9811
1970,25025981201,,,Census Tract 9812.01
1970,25025981202,,,Census Tract 9812.02
1970,25025981300,,,Census Tract 9813
1970,25025981501,,,Census Tract 9815.01
1970,25025981502,,,Census Tract 9815.02
