"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2007,"25025081800","Census Tract 818",28,39,5,10041129,15298818,899100
2007,"25025081900","Census Tract 819",20,20,6,6676207,7771500,1555429
2007,"25025082000","Census Tract 820",12,20,13,2845504,7897121,1665523
2007,"25025082100","Census Tract 821",7,16,5,3167317,7676933,1456627
2007,"25025090100","Census Tract 901",21,50,11,6533650,20168356,2097430
2007,"25025090200","Census Tract 902",21,21,4,7633178,8770814,760777
2007,"25025090300","Census Tract 903",29,29,6,5935191,11290271,1738919
2007,"25025090400","Census Tract 904",37,35,5,11277568,14227520,979553
2007,"25025090600","Census Tract 906",14,25,3,4611241,8176590,232891
2007,"25025090700","Census Tract 907",70,52,5,25831134,21293290,884985
2007,"25025090901","Census Tract 909.01",,,,,,
2007,"25025091001","Census Tract 910.01",52,42,7,17034914,14289624,1486268
2007,"25025091100","Census Tract 911",88,73,15,27951148,28826254,1244908
2007,"25025091200","Census Tract 912",35,35,3,11950834,13599420,402266
2007,"25025091300","Census Tract 913",16,21,5,6897807,8537923,354276
2007,"25025091400","Census Tract 914",21,21,5,7223854,6992375,708553
2007,"25025091500","Census Tract 915",62,58,13,22164160,22704750,1503205
2007,"25025091600","Census Tract 916",47,45,3,15295995,17441414,91745
2007,"25025091700","Census Tract 917",36,37,6,9994550,17167592,1030366
2007,"25025091800","Census Tract 918",33,46,7,12237361,19256552,1198330
2007,"25025091900","Census Tract 919",22,48,10,5914019,18090686,324636
2007,"25025092000","Census Tract 920",32,65,14,10417988,38129188,2678951
2007,"25025092101","Census Tract 921.01",87,81,11,27510772,29444472,1689518
2007,"25025092200","Census Tract 922",38,58,13,13341123,22059712,1141871
2007,"25025092300","Census Tract 923",51,30,5,14660838,12303699,433318
2007,"25025092400","Census Tract 924",30,34,9,9952206,15214130,1017663
2007,"25025100100","Census Tract 1001",43,54,8,11998824,22689224,1088236
2007,"25025100200","Census Tract 1002",15,37,10,5065731,12251475,2278097
2007,"25025100300","Census Tract 1003",28,58,14,10880947,20718826,2309149
2007,"25025100400","Census Tract 1004",45,62,20,17845092,21832468,2732587
2007,"25025100500","Census Tract 1005",92,76,14,28947638,28927878,4279547
2007,"25025100601","Census Tract 1006.01",117,67,10,33472780,25249612,3757307
2007,"25025100603","Census Tract 1006.03",43,49,10,14274098,16044069,1412872
2007,"25025100700","Census Tract 1007",78,93,18,23794398,33414910,2494050
2007,"25025100800","Census Tract 1008",72,73,13,22977162,25975104,2028268
