YEAR,GEOID,median_nom_R1F,median_nom_RCD,median_adj_R1F,median_adj_RCD,count_R1F,count_RCD,NAME
2000,Jamaica Plain,348900.0,195000.0,617363.0,345044.0,91.0,375.0,Jamaica Plain
2000,Longwood,,129000.0,,228260.0,0.0,19.0,Longwood
2000,Mattapan,164000.0,145000.0,290190.0,256571.0,69.0,20.0,Mattapan
2000,Mission Hill,220000.0,157000.0,389280.0,277804.0,5.0,54.0,Mission Hill
2000,North End,517250.0,271000.0,915250.5,479522.0,2.0,184.0,North End
2000,Roslindale,222500.0,146000.0,393704.0,258340.0,146.0,75.0,Roslindale
2000,Roxbury,131000.0,166500.0,231798.5,294614.0,50.0,70.0,Roxbury
2000,South Boston,240000.0,221000.0,424669.0,391049.5,69.0,364.0,South Boston
2000,South Boston Waterfront,,321500.0,,568879.5,0.0,90.0,South Boston Waterfront
2000,South End,855000.0,325000.0,1512883.0,575073.0,17.0,687.0,South End
2000,West End,,285000.0,,504294.0,0.0,65.0,West End
2000,West Roxbury,264200.0,135000.0,467490.0,238876.0,283.0,157.0,West Roxbury
2001,Allston,332500.0,174950.0,572065.0,301001.0,12.0,142.0,Allston
2001,Back Bay,2175000.0,475000.0,3742081.0,817236.0,5.0,378.0,Back Bay
2001,Beacon Hill,1875000.0,328750.0,3225932.0,565613.0,21.0,194.0,Beacon Hill
2001,Brighton,319000.0,185000.0,548838.5,318292.0,38.0,431.0,Brighton
2001,Charlestown,408000.0,372500.0,701963.0,640885.0,56.0,318.0,Charlestown
2001,Chinatown,,375000.0,,645186.0,0.0,1.0,Chinatown
2001,Dorchester,217000.0,161400.0,373348.0,277688.0,176.0,211.0,Dorchester
2001,Downtown,,563750.0,,969930.0,0.0,186.0,Downtown
2001,East Boston,170000.0,119000.0,292484.0,204739.0,45.0,69.0,East Boston
2001,Fenway,,247500.0,,425823.0,0.0,217.0,Fenway
2001,Hyde Park,225000.0,110000.0,387112.0,189255.0,167.0,42.0,Hyde Park
2001,Jamaica Plain,402500.0,223000.0,692500.0,383671.0,91.0,307.0,Jamaica Plain
2001,Longwood,,154350.0,,265558.5,0.0,10.0,Longwood
2001,Mattapan,193000.0,147000.0,332056.0,252913.0,63.0,18.0,Mattapan
2001,Mission Hill,510000.0,229500.0,877453.0,394854.0,3.0,68.0,Mission Hill
2001,North End,,365000.0,,627981.0,0.0,121.0,North End
2001,Roslindale,254500.0,178500.0,437866.5,307108.5,132.0,104.0,Roslindale
2001,Roxbury,164000.0,152000.0,282161.5,261516.0,22.0,114.0,Roxbury
2001,South Boston,237000.0,232000.0,407758.0,399155.0,68.0,311.0,South Boston
2001,South Boston Waterfront,,330000.0,,567764.0,0.0,41.0,South Boston Waterfront
